Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0805_2012Metric",142.060000,-85.513026,180.000000,top
"C2","100 nF","C_0805_2012Metric",134.060000,-85.413026,180.000000,top
"C3","0.01uF","C_0805_2012Metric",175.581250,-65.500000,180.000000,top
"C4","0.01uF","C_0805_2012Metric",175.581250,-68.500000,180.000000,top
"C5","100 nF","C_0805_2012Metric",142.310000,-72.013026,90.000000,top
"C6","100 nF","C_0805_2012Metric",134.310000,-72.113026,90.000000,top
"C7","0.1uF","C_0805_2012Metric",140.900000,-123.225000,0.000000,top
"C8","1uF","C_0805_2012Metric",139.375000,-131.950000,-90.000000,top
"C9","10uF","C_0805_2012Metric",142.625000,-131.950000,-90.000000,top
"C10","10nF","C_0805_2012Metric",136.775000,-126.550000,0.000000,top
"D1","SS34","D_SMA",116.055000,-122.622500,-90.000000,top
"D2","SS34","D_SMA",115.995000,-106.922500,-90.000000,top
"R1","50k","R_0805_2012Metric",175.387500,-84.700000,180.000000,top
"R2","97k","R_0805_2012Metric",171.787500,-84.700000,180.000000,top
"R3","60","R_0805_2012Metric",140.497500,-75.013026,0.000000,top
"R4","60","R_0805_2012Metric",132.435000,-75.013026,0.000000,top
"R5","10k","R_0805_2012Metric",118.000000,-141.000000,90.000000,top
"R6","50k","R_0805_2012Metric",175.525000,-106.550000,180.000000,top
"R7","97k","R_0805_2012Metric",171.812500,-106.550000,180.000000,top
"R8","10","R_0805_2012Metric",179.381250,-65.500000,180.000000,top
"R9","10","R_0805_2012Metric",179.381250,-68.500000,180.000000,top
"R10","50k","R_0805_2012Metric",175.500000,-103.050000,180.000000,top
"R11","97k","R_0805_2012Metric",171.800000,-103.050000,180.000000,top
"R12","50k","R_0805_2012Metric",175.512500,-99.900000,180.000000,top
"R13","97k","R_0805_2012Metric",171.800000,-99.900000,180.000000,top
"R14","50k","R_0805_2012Metric",175.400000,-96.850000,180.000000,top
"R15","97k","R_0805_2012Metric",171.787500,-96.850000,180.000000,top
"R16","50k","R_0805_2012Metric",175.412500,-93.700000,180.000000,top
"R17","97k","R_0805_2012Metric",171.800000,-93.700000,180.000000,top
"R18","50k","R_0805_2012Metric",175.400000,-90.650000,180.000000,top
"R19","97k","R_0805_2012Metric",171.787500,-90.650000,180.000000,top
"R20","50k","R_0805_2012Metric",175.362500,-87.700000,180.000000,top
"R21","97k","R_0805_2012Metric",171.787500,-87.700000,180.000000,top
"R22","10k","R_0805_2012Metric",118.000000,-137.000000,90.000000,top
"R23","1k","R_0805_2012Metric",136.750000,-123.250000,180.000000,top
"R24","4.7k","R_0805_2012Metric",174.750000,-71.750000,-90.000000,top
"R25","60","R_0805_2012Metric",144.410000,-75.013026,0.000000,top
"R26","60","R_0805_2012Metric",136.222500,-75.013026,0.000000,top
"R27","60","R_0805_2012Metric",137.910000,-85.013026,180.000000,top
"R28","60","R_0805_2012Metric",146.410000,-83.813026,90.000000,top
"R29","60","R_0805_2012Metric",146.210000,-78.213026,-90.000000,top
"R30","60","R_0805_2012Metric",130.310000,-78.113026,-90.000000,top
"R31","60","R_0805_2012Metric",131.010000,-86.113026,90.000000,top
"R32","60","R_0805_2012Metric",137.910000,-87.013026,180.000000,top
"R33","220","R_0805_2012Metric",126.160000,-120.920000,-90.000000,top
"R34","10k","R_0805_2012Metric",126.175000,-124.670000,-90.000000,top
"R35","10k","R_0805_2012Metric",126.155000,-109.090000,-90.000000,top
"R36","220","R_0805_2012Metric",126.155000,-105.090000,-90.000000,top
"R37","100k","R_0805_2012Metric",159.992000,-137.300000,180.000000,top
"R38","10k","R_0805_2012Metric",117.000000,-89.710000,-90.000000,top
"R39","27k","R_0805_2012Metric",155.420000,-137.300000,180.000000,top
"R40","1k","R_0805_2012Metric",126.250000,-89.797500,-90.000000,top
"R41","10k","R_0805_2012Metric",174.940000,-110.880000,-90.000000,top
"R42","10k","R_0805_2012Metric",172.310000,-110.840000,-90.000000,top
"R43","10k","R_0805_2012Metric",172.325000,-114.362500,90.000000,top
"R44","10k","R_0805_2012Metric",174.925000,-114.400000,90.000000,top
"R45","4.7k","R_0805_2012Metric",180.000000,-71.750000,-90.000000,top
"R46","6.5k","R_0805_2012Metric",151.356000,-140.856000,90.000000,top
"R47","10k","R_0805_2012Metric",145.260000,-126.124000,180.000000,top
"R48","4.7k","R_0805_2012Metric",196.568000,-68.212000,0.000000,top
"R49","4.7k","R_0805_2012Metric",196.568000,-65.164000,0.000000,top
"R50","10k","R_0805_2012Metric",179.907500,-125.616000,0.000000,top
"R51","10k","R_0805_2012Metric",116.050000,-115.860500,90.000000,top
"U2","PAM8302AAY","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",141.000000,-126.750000,-90.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",142.405000,-80.238026,90.000000,top
"U4","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",134.405000,-80.188026,90.000000,top
"U5","LM1117DT-5.0","TO-252-3_TabPin2",177.040000,-77.712500,0.000000,top
