"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5,C6","100 nF","~","Capacitor_SMD:C_0805_2012Metric","4",""
"C3,C4","0.01uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"J1,J2,J3,J5,J6,J7,J9,J10","Conn_01x02_Socket","~","Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical","8",""
"J4,J8","Conn_01x04_Socket","~","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","2",""
"Q1","IRLZ34N","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1,R2,R6,R7,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R24","1k","~","Resistor_SMD:R_0805_2012Metric","18",""
"R3,R4,R25,R26,R27,R28,R29,R30,R31,R32","60","~","Resistor_SMD:R_0805_2012Metric","10",""
"R5,R22","10k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R8,R9","10","~","Resistor_SMD:R_0805_2012Metric","2",""
"U1","Teensy4.1","","teensy:CONN_4848-6000-CP_3MM","1",""
"U2","PAM8302AAY","https://www.diodes.com/assets/Datasheets/PAM8302A.pdf","Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm","1",""
"U3,U4","SN65HVD230","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2",""
"U5","LM1117DT-5.0","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:TO-252-3_TabPin2","1",""
