"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacture Part Number","MANUFACTURER"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~","",""
"CCM1","1","TestCCMCtrl","","","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","https://www.mouser.com/ProductDetail/Molex/39-29-6048?qs=dvxwXVM4mZWUnxCZuxXv2A%3D%3D&srsltid=AfmBOoqTlLUZhxj7UwtuGPjji8nXIA_9n5t02ZU9lt9sBXMsITBjOeir","39-29-6048 ","Molex"
"J1,J3","2","Conn_02x02","","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","https://www.mouser.com/ProductDetail/Molex/39-29-6048?qs=dvxwXVM4mZWUnxCZuxXv2A%3D%3D&srsltid=AfmBOoqTlLUZhxj7UwtuGPjji8nXIA_9n5t02ZU9lt9sBXMsITBjOeir","39-29-6048 ","Molex"
"Latch1","1","TestLatch","","","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","https://www.digikey.com/en/products/detail/3m/94980-M000/24773959","94980-M000","3M"
"T555","1","Test555","","","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","https://www.digikey.com/en/products/detail/3m/94980-M000/24773959","94980-M000","3M"
"C2,C3","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/Murata-Electronics/GCD21BR71H104KA01L?qs=coxMWmu44UBHsGu3aK5jKA%3D%3D&mgh=1&","GCD21BR71H104KA01L","Murata Electronics"
"C1","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/GCM21BR7YA105KA55K/28142785?gclsrc=aw.ds&gad_source=1&gad_campaignid=20509818233&gbraid=0AAAAADrbLljIK0VXFb0xIXsqi7RiCyH2P&gclid=CjwKCAjwyMnNBhBNEiwA-Kcgu1DTqB0JYjGjvqUztQhlDR-bKQkAgs7Wpzh-u9QDzU6RVFvOhtkNRhoC1JUQAvD_BwE","GCM21BR7YA105KA55K","Murata Electronics"
"Q1,Q3,U3","3","IRLZ34NPBF","","","","IRLZ34N:TO-220_2_","https://www.digikey.com/en/products/detail/infineon-technologies/IRLZ34NPBF/811725","IRLZ34NPBF","Infineon Technologies"
"U1","1","LM555xN","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm555.pdf","LM555CN/NOPB","Texas Instrument"
"R8","1","10k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","RC0805FR-0710KL","Yageo"
"R4","1","13k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0713KL/727584","RC0805FR-0713KL","Yageo"
"R1,R2,R6","3","22k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0722KL/730683","RC0805FR-0722KL","Yageo"
"R7","1","220k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0733KL/730689","RC0805FR-07220KL","Yageo"
"R5","1","4k","","","","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K02L/730854","RC0805FR-0724R9L","Yageo"
"D2,D3","2","SD0805S040S0R5","","","","Diode_SMD:D_0805_2012Metric","https://www.digikey.com/en/products/detail/kyocera-avx/SD0805S040S0R5/3749489","SD0805S040S0R5","KYOCERA AVX"
"D1","1","DEBUGLatch","","","","LED_THT:LED_D4.0mm","https://www.digikey.com/en/products/detail/kingbright/WP7113ID/1747663","WP7113ID","Kingbright"
