"Reference","Qty","Value","Footprint","MPN","MFG"
"D1","1","BSPD_LED","LED_THT:LED_D5.0mm","  151051RS11000","Würth Elektronik"
"D2","1","IMD_LED","LED_THT:LED_D5.0mm","  151051RS11000","Würth Elektronik"
"D3","1","BMS_LED","LED_THT:LED_D5.0mm","  151051RS11000","Würth Elektronik"
"J1","1","sw-latch","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical","39281043","Molex"
"J2","1","led-latch","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical","39281063","Molex"
"J3","1","GLVMP","GLVMP_Banana_Jack:GLVMP_Banana_Jack","CT3149-0","Cal Test Electronics"
"R1,R2,R3,R4,R5,R6","6","220 ohms","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","CF14JT220R","Stackpole Electronics Inc"
"SW1","1","BSPD_RESET","Button_Switch_THT:SW_PUSH_6mm","  2-1825910-7","TE Connectivity ALCOSWITCH Switches"
"SW2","1","IMD_RESET","Button_Switch_THT:SW_PUSH_6mm","  2-1825910-7","TE Connectivity ALCOSWITCH Switches"
"SW3","1","BMS_RESET","Button_Switch_THT:SW_PUSH_6mm","  2-1825910-7","TE Connectivity ALCOSWITCH Switches"
