"Reference","Value","Footprint","Datasheet","Description","Qty","DNP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","MFG","MP","MPN","MANUFACTURER","MF","Package","Description_1","DigiKey_Part_Number"
"C9,C10","B32529C0105K189","footprints:CAPRR500W50L730T450H950","","","2","","","","","","B32529C0105K189","","TDK","TDK ELECTRONICS","NON-STANDARD-2 TDK","1 µF Film Capacitor 40V 63V Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked Radial","495-B32529C0105K189CT-ND"
"Charger1,DCDC1","428192213","footprints:MOLEX_428192213","","","2","","","","","Molex","","0428192213 ","","","","",""
"HVIN1","428194213","footprints:MOLEX_428194213","","","1","","","","","Molex","","0428194213 ","","","","",""
"R1,R2,R4,R5,R7,R8,R9,R10,R11,R12","3k","Resistor_SMD:R_2512_6332Metric","","Resistor, US symbol","10","","","","","Stackpole Electronics Inc","","RMCF2512JT3K00","","","","",""
"R13,R14,R15,R16,R17,R18,R19","0.43R 1/2W","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor, US symbol","7","","","","","Panasonic Electronic Components","","ERJ-6DQFR43V","","","","",""
"R34,R40","47R","Resistor_SMD:R_0805_2012Metric","","Resistor, US symbol","2","","","","","YAGEO ","","RC0805JR-0747RL ","","","","",""
"C1,C2,C4,C5,C6,C7,C8,C13,C14,C15,C16,C17,C21,C22,C23,C26","100n","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B472KDCNNNC/3888183,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874","Unpolarized capacitor","16","","","","","YAGEO","","CC0805KRX7R9BB104 ","","","","",""
"R24,R27,R28","60","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6AEB60R4V/2025554,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-P06J100V/525195","Resistor, small US symbol","3","","","","","","","","","","","",""
"U4,U5,U6","~","Package_DIP:DIP-8_W7.62mm_Socket,footprints:isoDCDC(removedPins)","https://www.digikey.com/en/products/detail/mean-well-usa-inc/SPAN02A-12/7706967?s=N4IgTCBcDaIM4AcCGA7ADGJBaAjBAugL5A,https://www.digikey.com/en/products/detail/texas-instruments/LM331N-NOPB/6213","","3","","","","","LM231N/NOPB,MEAN WELL USA Inc. ","","SPAN02A-12 ,Texas Instruments","","","","",""
"Q1,Q2","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","47A Id, 55V Vds, 22mOhm Rds Single N-Channel HEXFET Power MOSFET, TO-220AB","2","","","","","Infineon Technologies","","IRLZ44NPBF ","","","","",""
